"Baby	";"Baby	";"das	";"Babys	";;;Nomen
"Kiste	";"box	";"die	";"Kisten	";;;Nomen
"Kuss	";"kiss	";"der	";"Küss	";;;Nomen
"Tod	";"death	";"der	";"Tode	";;;Nomen
"Regal	";"Shelf	";"das	";"Regale	";;;Nomen
"Rest	";balance;der;Reste;;;Nomen
"Segelboot	";"sail boat	";"das	";"Segelboote	";;;Nomen
"Spiegel	";"mirror	";"der	";"-	";;;Nomen
"Stiefel	";"boot	";"der	";"-	";;;Nomen
"Wörterbuch	";"dictionary	";"das	";"Wörterbücher	";;;Nomen
"Abendkleid	";"evening dress	";"das	";"Abendkleider	";;;Nomen
"Autoschlüssel	";"car key	";"der	";"-	";;;Nomen
"Bad	";"bath	";"das	";"Bäder	";;;Nomen
"Europakarte	";"eurocard	";"die	";"Europakarten	";;;Nomen
"Fax	";"fax	";"das	";"Faxe	";;;Nomen
"Geschäft	";"business	";"das	";"Geschäfte	";;;Nomen
"Hauptstadt	";"capital	";"die	";"Hauptstädte	";;;Nomen
"Jugendherberge	";"youth hostel	";"die	";"Jugendherbergen	";;;Nomen
"Kleid	";"dress	";"das	";"Kleider	";;;Nomen
"Kontaktlinse	";"contact lens	";"die	";"Kontaktlinsen	";;;Nomen
"Kreditkarte	";"credit card	";"die	";"Kreditkarten	";;;Nomen
"Museum	";"museum	";"das	";"Museen	";;;Nomen
"Rasierapparat	";"razor	";"der	";"Rasierapparate	";;;Nomen
"Restaurant	";"restaurant	";"das	";"Restaurants	";;;Nomen
"Schlüssel	";"key	";"der	";"-	";;;Nomen
"Wohnzimmer	";"living room	";"das	";"-	";;;Nomen
"Zimmerschlüssel	";"room key	";"der	";"-	";;;Nomen
"Ampel	";"traffic light	";"die	";"Ampeln	";;;Nomen
"Angst	";"anxiety	";"die	";"Ängste	";;;Nomen
"Bademütze	";"bath cap	";"die	";"Bademützen	";;;Nomen
"Feuerwehr	";"firefighters	";"die	";"Feuerwehren	";;;Nomen
"FuSSgänger	";"pedestrain	";"der	";"-	";;;Nomen
"FuSSgängerin	";"pedestrain	";"die	";"FuSSgängerinnen	";;;Nomen
"Hausaufgabe	";"homework	";"die	";"Hausaufgaben	";;;Nomen
"Krawatte	";"tie	";"die	";"Krawatten	";;;Nomen
"Motorradfahrer	";"biker	";"der		";Nomen;;;Nomen
"Pause	";"break	";"die	";"Pausen	";;;Nomen
"Radfahrerin	";"bicyclist	";"die	";"Radfahrerinnen	";;;Nomen
"Ruhe	";"rest, calm	";"die	";"-	";;;Nomen
"Schild	";"buckler, name plate	";"das	";"Schilder	";;;Nomen
"Spiel	";"game	";"das	";"Spiele	";;;Nomen
"Stoppschild	";"stop sign	";"das	";"Stoppschilder	";;;Nomen
"Teilnehmer	";"partner, participant	";"der	";"-	";;;Nomen
"Wasser	";"water	";"das	";"-	";;;Nomen
"Wasserball	";"beachball	";"der	";"Wasserbälle	";;;Nomen
"Zahn	";"tooth	";"der	";"Zähne	";;;Nomen
"grün	";"green	";"das	";"-	";;;Nomen
"Bonbon	";"candy	";"das	";"Bonbons	";;;Nomen
"Brücke	";"bridge	";"die	";"Brücken	";;;Nomen
"Gedict	";"poem	";"das	";"Gedichte	";;;Nomen
"Hand	";"hand	";"die	";"Hände	";;;Nomen
"Hotelzimmer	";"hotel room	";"das	";"-	";;;Nomen
"Hut	";"hat	";"der	";"Hüte	";;;Nomen
"Kontakt	";"contact	";"der	";"Kontakte	";;;Nomen
"Meinung	";"opinion	";"die	";"Meinungen	";;;Nomen
"Rasen	";"lawn	";"der	";"-	";;;Nomen
"Regel	";"rule	";"die	";"Regeln	";;;Nomen
"Regisseur	";"director	";"der	";"Regisseurin	";;;Nomen
"Stern	";"star	";"der	";"Sterne	";;;Nomen
"Steuer	";"tax	";"die	";"Steuern	";;;Nomen
"Strophe	";"verse	";"die	";"Strophen	";;;Nomen
"Termin	";"appointment	";"der	";"Termine	";;;Nomen
"Tiger	";"tiger	";"der	";"-	";;;Nomen
"Toilettenwand	";"toilet wall	";"die	";"Toilettenwände	";;;Nomen
"Träne	";"tear drop	";"die	";"Tränen	";;;Nomen
